condition,domain,execution_family,final_endpoint_class,final_source,global_sequence_index,hard_contract_vector,model_slot_id,original_technical_class,paper_id,private_score,result_source_sha256,task_id,terminal_outcome,variant_id
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,22,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,066da6b59829bad094961ffa8c9b5d1509f133c05658d5377e55b62ab2fe28fd,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,23,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.140625,d561d03faa02407fa0ad7cbdd11d454b659daaecf0c87a99ca4b1af7aa891768,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,24,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.0,9f45f15c2cfdf882b76d98a6b780290277ec27d164d7789c101ef39260b2f053,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,submission_or_case_coverage_failure,fg5_exact_output_direct,25,"[false,false]",deepseek_primary,exact_output_contract,se_delta_debugging,0.0,f27f27a006230bdb5e6238c46a2168e59e52dc6e537333b9fa5a6e90ac0156ef,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,response_format_successor,26,"[true,false]",deepseek_primary,exact_output_contract,se_delta_debugging,0.0,39bf1bca055d9fe63b677798082eb270bccbcf7ce699364fc6e520a0ed9ce96d,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,27,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,7fdd70c9059a993de50d804e24a2ec29068ca55c22e9435927859df56582e6f2,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,28,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.0,9f0505493cd46f9b4632a04481ab9f2b7bfdf8c3a552a8d6928e972797e60341,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,29,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,3f8965d287167c15b0e9e91098065ccfc7305db135f109e4cabd9d55c8e62d1b,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,response_format_successor,30,"[false,false]",deepseek_primary,response_format,se_delta_debugging,0.0,350886bdaa454213d42f97769954fb3144a809c59c0738de113938753eacc83f,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,31,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,10dc310a22a29dfff95e4528d8c97f4f8cc379f2f37711f4750142f712c2741b,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,32,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.046875,52b0cc91516adb8798f2adcbd1d62356762d2d24152feb2a8e9b275b80b69a42,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,33,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,34c3b64df6fe475f60c2b4836b320383b995c2415c888fb44c4ec48e044c3371,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,34,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,89d368926a870d4bfa2831837530257203a593d50735a8473b96ff4288baf710,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg5_exact_output_direct,35,"[false,false]",deepseek_primary,exact_output_contract,se_delta_debugging,0.0,2b9c7990cd53f421f4a79b4fcbcd8590c07324b3125f9150112e50ff5ca24c17,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,submission_or_case_coverage_failure,response_format_successor,36,"[false,false]",deepseek_primary,exact_output_contract,se_delta_debugging,0.0,026adcc8c9ebb412e3a769ddfb6f984441e64c89ebfc5a151e72a369c50fad04,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,37,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,21c939ddbb4c4c6a831d0ad9e5fe89058723cf6599df39dde6bb51ecfeb41c2b,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,38,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,2a1aba2b5cf772719e75a80ce61b474f9d6207e7094781715fe75c06ef0abbc0,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,submission_or_case_coverage_failure,fg3_retained,39,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,data_snapatac2,0.0,657bf76631f14e11667e6355e893e164554ba5caf8a276a05cfb3228fa8720da,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,submission_or_case_coverage_failure,fg3_retained,40,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,data_snapatac2,0.0,e275dcb91a743d9f278d44d7284e3469e1e698825f893fb646ff0f888b012a89,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,41,"[true,false]",deepseek_primary,payload_input_interface,data_snapatac2,0.0,90883a920f5aeff0466a7f6c3d9aaeca3547351f49bdd5d5ff2899ab6e8e36da,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,response_format_successor,42,"[true,false]",deepseek_primary,response_format,data_snapatac2,0.0,5779b2b6334ce94d4d54819f31f0a4f1518648fa199d746967592b73515c49c6,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,submission_or_case_coverage_failure,fg3_retained,43,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,data_snapatac2,0.0,440bc8c52322c02906adc49ab1693fefa509fe59ebe2328dfebcb3fc9ff89333,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,44,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,18c6cff0ad873c867ab12584a5cb995c12e210aa44fabfaf6355cb4a93194881,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,submission_or_case_coverage_failure,fg3_retained,45,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,data_snapatac2,0.0,f8fe27f7603b673090019f7b7e720d7c1fd0eb2948bf3a886daf863eb51d4ed5,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,46,"[true,false]",deepseek_primary,payload_input_interface,data_snapatac2,0.0,826aca4e80bb5069e139abaa52ba62d60f6f70413d36f3d652699bc3be534599,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,47,"[true,false]",deepseek_primary,payload_input_interface,data_snapatac2,0.0,c8f49b8558ed48f176a97235994e4d645b6a4f58dd8b516ce04c14de1d90ead2,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,48,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,c5b6b4940fa95a9094c578286fc5d24c1b81033bffd04817ac52673ca530baa9,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,49,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,9498786947d9ed9f7fa60b993f3a761010ac2145a611fecbfae700ed37e99b48,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,50,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,343b9a2defb399ab4ce1267a96e78404ed79f2a6f52d26d4342322b0449fd833,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,51,"[true,false]",deepseek_primary,payload_input_interface,data_snapatac2,0.0,17b96c654ccba492fd16e12562c57856425b73e7683311e24fb03b0beec00e9d,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,52,"[true,false]",deepseek_primary,payload_input_interface,data_snapatac2,0.0,7672fb8d6276477c7ce524e46b7e055dd2217856ce6821b5099773d19fdccbfd,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,53,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,5dcf28da4f7d66e04f8e6bc8189a62ef1abd9d8a9e1541fabf1de1a7a43ad229,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,54,"[true,false]",deepseek_primary,exact_output_contract,data_snapatac2,0.0,160863edd3df70f474c9b817a83cc7e03e7dd107f20260330ffd6d9e4bd0560a,DATA-SNAP-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,55,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,20300c4d0a943f5c1adacf230d6afc3f73f75f328a00ad975091ca00fa316775,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,56,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_toolformer,0.0,6e80206c4f3de4d8f9312fa7d452a73f847277c9187877f0ec548be1be274d11,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,57,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,ac72489c3c9cead7c9f6a00747f51d5ec2e8cf0bb7138fab0cec8c4bc66f0425,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,58,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_toolformer,0.0,e573c277cd33a7db49e9f623f2eeecadd29ee03db4cc4a9e20823f957f22b06b,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,59,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,3f8b3d6c872fb8c9352734a1a4fde21527abe61599b4832c5fb32227a189c9cc,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,60,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,b56bf9f746da9a607481fdf09b936d5214f48ab09597916c33bac02013c23297,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,61,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,36ab2c9541e55f0ec9a540100e7721f4ff61d1e20e61e63686602d95d7ae7f3e,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,62,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,cae922868766c86a4d3357b4b584268572a7d9a25f32000af993256667d92b20,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,63,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,85cdc3e9121153e511875fbc9cdf99cdd1ee3d06f6485c2bd706343c86806934,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,64,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,12467de6c5ed9363b9e9796ee91f1922c87816e1e1fb2442bff574390931d742,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,65,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,a435e11110ff0bdcd529968cefd9160115740d06a4394e75477696d41911edec,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,operational_success,fg5_exact_output_direct,66,"[true,true]",deepseek_primary,exact_output_contract,agent_toolformer,1.0,de2ee0ff6a1e6aa91ea57d415f2f517d73e7b1d051aa15b59438c18c11225730,AGENT-TF-01,operational_success,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,67,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_toolformer,0.0,38042c9ea864195c5c5bb7bf84f4fa13ca8b6313f4e13cb76ccb4554047e300a,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,68,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,c550d5b155e060e186f9d1d065353b9dd21bddbceeea32e2a3b8b2e25df8a839,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,69,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,f4faa07e1ef4d087e76904aac57afd82c9fe9782f37dc7c13707d377eb1d79be,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,70,"[true,false]",deepseek_primary,payload_input_interface,agent_toolformer,0.0,e928f276e7e79c6f354fd49d710043630b024b10810dc366a7fa1d3835e3238d,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,71,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,6b2005f9898d3a084df47d9a033a083461891e565fd85eaaef8b942e1dd4b11d,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,72,"[true,false]",deepseek_primary,exact_output_contract,agent_toolformer,0.0,9f4b6d4647ac58400a74c1352bbdd3989684a39498c41571dbd8d5c5b5a78563,AGENT-TF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,73,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.0,ce17e20c9f474d9f860358bf99897967649c83ecd724d20682760df462260414,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,74,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,a2b4235acb879a45e47eb1b81056c16468a7744a78e38faa5c8a69b12392a4e4,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,75,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,718aef28409ef2868491192591c87bc52417afb2c36638fac1817b2b1f348b9f,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,submission_or_case_coverage_failure,fg3_retained,76,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua,0.0,b665468303c76b171c6531a1c2d67301005b17765988bfefdc84372ac21bc37f,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,77,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,2a5ebf757702970e66ec522031c47f797947f3b4e3a68ff7835fd673d96c25a5,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,operational_success,fg5_exact_output_direct,78,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,811ce9f155d0bbdc952e310c866901136ead22e30590927edc9a96e354c3dc69,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,79,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,2242aeb7fc20db468264adcf300a4469d700ac0780aacbc3adfaf41d139e3ac4,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,response_format_successor,80,"[true,false]",deepseek_primary,response_format,nlp_llmlingua,0.0,71c6f2ee4fb871fb63c2d08c39f3c3a78e279d557d6676759b021d48787b3921,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,fg5_exact_output_direct,81,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,a8936b32127f8c7898aa3f45b20925f20d70369f14a210b04758118f5c535993,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,82,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.28125,44c2880b844ed448cb839af63cd9ac311e084df9102c906defeec598eeea5676,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,83,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,ebee25cea887337225d71f120fd0e8bb9627c4681ef21339a82d7d038eb121ef,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,84,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,04e4f624028508c97379b4be64b9ea1768a12f63b2fb1074dbd9770a98f5babc,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,85,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,061187268ee9a11cb6815d9c77a6ef79ef0356ac3c5c42bc2898ecd83afd9bf0,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,86,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.0,2ab01832d34e71ab54f88a56d1cb87438d95c30f1c8034580bc62e89ef004f6b,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,87,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,e8cc7ed4d907de90b2cbe24da46a7075db437951513dbbcdf57d7e378dda1675,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,88,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,2f228c0c33475a5e188e0de71186a6380037b9ce4d4e5026803b8309e08f9315,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,89,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,63cf3780b25bb12a15300b130730ed0d76dd828c0343e7303082c7d597fe3cc9,NLP-LLM-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,90,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.0,4845433a400baf7c9cab5394656b8ae7214769950ea45800e412866c45cc98b1,NLP-LLM-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,91,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.0,ccd203599814514227306ed6d2dcce5ed34b7e515824197eb06b9676a5f658f6,SE-DD-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,92,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,e14b8e5c9a8e56d9db4f6f8afcec22f36fdc7969aa6f4cfcba79c4b8b2da9a87,SE-DD-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,submission_or_case_coverage_failure,payload_interface_successor,93,"[false,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.0,82c1ad4e225271c2a784792b954bb5e482b4bc78b81486ca1762366e57e199da,SE-DD-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,94,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,96f64edbbc92bdc9b8bf3462f6830fcfb67cf35f89e026c5c6d34efba6f8d27a,SE-DD-02,hard_contract_failure,primary_dag_ratio_60_v1
