grouping,domain,paper_id,task_id,execution_family,condition,model_slot_id,variant_id,registered_rows,scoring_rows,rows_with_any_worker_error,worker_error_cases,payload_key_error_rows,payload_key_error_cases,case_payload_access_rows,operational_success_rows
by_task,software_engineering,se_delta_debugging,SE-DD-01,,,,,18,17,6,344,5,320,6,0
by_task,software_engineering,se_delta_debugging,SE-DD-02,,,,,18,16,5,320,4,256,10,0
by_task,software_engineering,se_perses,SE-PE-01,,,,,234,188,79,5056,59,3776,131,0
by_task,software_engineering,se_perses,SE-PE-02,,,,,18,16,8,512,6,384,9,0
by_family,,,,alternate_reducers,,,,96,91,36,2304,30,1920,40,0
by_family,,,,controls,,,,144,141,66,4224,44,2816,69,0
by_family,,,,primary,,,,432,384,181,11443,142,9088,200,1
by_family,,,,remote_anchor,,,,96,0,0,0,0,0,0,0
by_family,,,,required_closed_models,,,,384,344,29,1856,15,960,181,4
by_family,,,,structural_ladder,,,,144,138,49,3136,37,2368,52,0
by_condition,,,,,B,,,264,216,53,3392,53,3392,104,1
by_condition,,,,,C,,,192,190,84,5376,70,4480,87,0
by_condition,,,,,F,,,456,390,139,8755,74,4736,188,0
by_condition,,,,,I,,,120,88,11,704,3,192,43,0
by_condition,,,,,S,,,264,214,74,4736,68,4352,120,4
by_model,,,,,,claude_opus_4_7,,96,77,26,1664,15,960,38,0
by_model,,,,,,deepseek_primary,,816,754,332,21107,253,16192,361,1
by_model,,,,,,gpt_5_5,,96,96,3,192,0,0,87,0
by_model,,,,,,gpt_5_6_luna,,96,0,0,0,0,0,0,0
by_model,,,,,,gpt_5_6_sol,,96,96,0,0,0,0,38,4
by_model,,,,,,gpt_5_6_terra,,96,75,0,0,0,0,18,0
by_variant,,,,alternate_reducers,,,dag_greedy_ratio_60_v1,48,44,18,1152,16,1024,21,0
by_variant,,,,alternate_reducers,,,source_window_ratio_60_v1,48,47,18,1152,14,896,19,0
by_variant,,,,controls,,,byte_identical_identity,48,48,24,1536,13,832,25,0
by_variant,,,,controls,,,destructive_core_negative,48,46,21,1344,19,1216,23,0
by_variant,,,,controls,,,planted_redundancy_positive,48,47,21,1344,12,768,21,0
by_variant,,,,primary,,,primary_dag_ratio_60_v1,432,384,181,11443,142,9088,200,1
by_variant,,,,remote_anchor,,,primary_dag_ratio_60_v1,96,0,0,0,0,0,0,0
by_variant,,,,required_closed_models,,,primary_dag_ratio_60_v1,384,344,29,1856,15,960,181,4
by_variant,,,,structural_ladder,,,L0_primary_slice,48,45,19,1216,15,960,19,0
by_variant,,,,structural_ladder,,,L1_mid_restore,48,46,13,832,10,640,16,0
by_variant,,,,structural_ladder,,,L2_near_full_strict,48,47,17,1088,12,768,17,0
by_family_condition,,,,alternate_reducers,C,,,48,48,24,1536,23,1472,23,0
by_family_condition,,,,alternate_reducers,F,,,48,43,12,768,7,448,17,0
by_family_condition,,,,controls,C,,,72,71,36,2304,23,1472,37,0
by_family_condition,,,,controls,F,,,72,70,30,1920,21,1344,32,0
by_family_condition,,,,primary,B,,,144,131,48,3072,48,3072,52,0
by_family_condition,,,,primary,F,,,144,122,65,4019,30,1920,74,0
by_family_condition,,,,primary,S,,,144,131,68,4352,64,4096,74,1
by_family_condition,,,,remote_anchor,B,,,24,0,0,0,0,0,0,0
by_family_condition,,,,remote_anchor,F,,,24,0,0,0,0,0,0,0
by_family_condition,,,,remote_anchor,I,,,24,0,0,0,0,0,0,0
by_family_condition,,,,remote_anchor,S,,,24,0,0,0,0,0,0,0
by_family_condition,,,,required_closed_models,B,,,96,85,5,320,5,320,52,1
by_family_condition,,,,required_closed_models,F,,,96,88,7,448,3,192,40,0
by_family_condition,,,,required_closed_models,I,,,96,88,11,704,3,192,43,0
by_family_condition,,,,required_closed_models,S,,,96,83,6,384,4,256,46,3
by_family_condition,,,,structural_ladder,C,,,72,71,24,1536,24,1536,27,0
by_family_condition,,,,structural_ladder,F,,,72,67,25,1600,13,832,25,0
