paper_id,task_id,domain,registry_id,paired_blocks,F_minus_B_operational_success,S_minus_B_operational_success,S_minus_F_operational_success,F_minus_B_private_score,S_minus_B_private_score,S_minus_F_private_score
data_leiden,DATA-LEI-02,data_analysis,B,3,0.3333333333333333,0.6666666666666667,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.33333333333333337
data_snapatac2,DATA-SNAP-01,data_analysis,A,3,0.0,0.0,0.0,0.0,0.0,0.0
data_snapatac2,DATA-SNAP-01,data_analysis,B,3,0.0,0.0,0.0,0.0,0.0,0.0
data_snapatac2,DATA-SNAP-02,data_analysis,A,3,0.0,0.0,0.0,0.0,0.0,0.0
data_snapatac2,DATA-SNAP-02,data_analysis,B,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
nlp_context_sentence_compression,NLP-CSE-01,nlp,A,3,0.0,0.0,0.0,0.0,0.0,0.0
nlp_context_sentence_compression,NLP-CSE-01,nlp,B,3,0.0,0.0,0.0,0.0,0.0,0.0
nlp_context_sentence_compression,NLP-CSE-02,nlp,A,3,0.0,0.0,0.0,-0.23958333333333331,0.0,0.23958333333333331
nlp_context_sentence_compression,NLP-CSE-02,nlp,B,3,0.0,0.0,0.0,-0.328125,0.109375,0.4375
nlp_llmlingua,NLP-LLM-01,nlp,A,3,0.3333333333333333,1.0,0.6666666666666667,0.08333333333333331,0.75,0.6666666666666667
nlp_llmlingua,NLP-LLM-01,nlp,B,3,0.6666666666666666,1.0,0.33333333333333337,0.7864583333333334,0.84375,0.05729166666666663
nlp_llmlingua,NLP-LLM-02,nlp,A,3,0.3333333333333333,0.6666666666666667,0.33333333333333337,0.3333333333333333,0.6666666666666667,0.33333333333333337
nlp_llmlingua,NLP-LLM-02,nlp,B,3,1.0,1.0,0.0,0.90625,0.90625,0.0
nlp_llmlingua2,NLP-LL2-01,nlp,A,3,0.33333333333333337,0.33333333333333337,0.0,0.30729166666666663,0.30729166666666663,0.0
nlp_llmlingua2,NLP-LL2-01,nlp,B,3,0.0,0.0,0.0,-0.03125,0.0,0.03125
nlp_llmlingua2,NLP-LL2-02,nlp,A,3,0.6666666666666666,1.0,0.33333333333333337,0.10416666666666663,0.4375,0.33333333333333337
nlp_llmlingua2,NLP-LL2-02,nlp,B,3,0.6666666666666666,0.6666666666666666,0.0,-0.10416666666666674,-0.10416666666666674,0.0
se_creduce,SE-CR-01,software_engineering,A,3,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,1.0,0.33333333333333337
se_creduce,SE-CR-01,software_engineering,B,3,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666667
se_creduce,SE-CR-02,software_engineering,A,3,0.0,0.0,0.0,0.140625,-0.010416666666666666,-0.15104166666666666
se_creduce,SE-CR-02,software_engineering,B,3,0.0,0.0,0.0,0.005208333333333336,-0.020833333333333332,-0.026041666666666668
se_delta_debugging,SE-DD-01,software_engineering,A,3,0.0,0.0,0.0,0.0,0.046875,0.046875
se_delta_debugging,SE-DD-01,software_engineering,B,3,0.0,0.0,0.0,-0.015625,-0.015625,0.0
se_delta_debugging,SE-DD-02,software_engineering,A,3,0.0,0.0,0.0,0.0,0.0,0.0
se_delta_debugging,SE-DD-02,software_engineering,B,3,0.0,0.0,0.0,0.1875,0.0,-0.1875
se_perses,SE-PE-01,software_engineering,A,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
se_perses,SE-PE-01,software_engineering,B,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
se_perses,SE-PE-02,software_engineering,A,3,0.0,0.0,0.0,0.0,0.0,0.0
se_perses,SE-PE-02,software_engineering,B,3,0.0,0.0,0.0,0.20833333333333334,0.0,-0.20833333333333334
