paper_id,domain,contrast,endpoint,task_ids,task_effects,effect,registered_pairs,valid_pairs,raw_block_min,raw_block_max
data_leiden,data_analysis,F_minus_B,private_score,"[""DATA-LEI-01"",""DATA-LEI-02""]","[0.2708333333333333,0.6666666666666666]",0.46875,12,12,-0.28125,1.0
data_leiden,data_analysis,S_minus_B,operational_success,"[""DATA-LEI-01"",""DATA-LEI-02""]","[0.16666666666666666,0.8333333333333334]",0.5,12,12,0.0,1.0
data_leiden,data_analysis,S_minus_B,private_score,"[""DATA-LEI-01"",""DATA-LEI-02""]","[0.20572916666666666,0.8333333333333334]",0.51953125,12,12,-0.1875,1.0
data_leiden,data_analysis,S_minus_F,operational_success,"[""DATA-LEI-01"",""DATA-LEI-02""]","[0.0,0.16666666666666666]",0.08333333333333333,12,12,-1.0,1.0
data_leiden,data_analysis,S_minus_F,private_score,"[""DATA-LEI-01"",""DATA-LEI-02""]","[-0.06510416666666667,0.16666666666666666]",0.05078124999999999,12,12,-0.6875,1.0
data_snapatac2,data_analysis,F_minus_B,operational_success,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,0.16666666666666666]",0.08333333333333333,12,12,0.0,1.0
data_snapatac2,data_analysis,F_minus_B,private_score,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,0.16666666666666666]",0.08333333333333333,12,12,0.0,1.0
data_snapatac2,data_analysis,S_minus_B,operational_success,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
data_snapatac2,data_analysis,S_minus_B,private_score,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
data_snapatac2,data_analysis,S_minus_F,operational_success,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,-0.16666666666666666]",-0.08333333333333333,12,12,-1.0,0.0
data_snapatac2,data_analysis,S_minus_F,private_score,"[""DATA-SNAP-01"",""DATA-SNAP-02""]","[0.0,-0.16666666666666666]",-0.08333333333333333,12,12,-1.0,0.0
nlp_context_sentence_compression,nlp,F_minus_B,operational_success,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
nlp_context_sentence_compression,nlp,F_minus_B,private_score,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,-0.2838541666666667]",-0.14192708333333334,12,12,-0.71875,0.0
nlp_context_sentence_compression,nlp,S_minus_B,operational_success,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
nlp_context_sentence_compression,nlp,S_minus_B,private_score,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,0.0546875]",0.02734375,12,12,0.0,0.328125
nlp_context_sentence_compression,nlp,S_minus_F,operational_success,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
nlp_context_sentence_compression,nlp,S_minus_F,private_score,"[""NLP-CSE-01"",""NLP-CSE-02""]","[0.0,0.3385416666666667]",0.16927083333333334,12,12,0.0,0.71875
nlp_llmlingua,nlp,F_minus_B,operational_success,"[""NLP-LLM-01"",""NLP-LLM-02""]","[0.5,0.6666666666666666]",0.5833333333333333,12,12,-1.0,1.0
nlp_llmlingua,nlp,F_minus_B,private_score,"[""NLP-LLM-01"",""NLP-LLM-02""]","[0.4348958333333333,0.6197916666666666]",0.52734375,12,12,-1.0,1.0
nlp_llmlingua,nlp,S_minus_B,operational_success,"[""NLP-LLM-01"",""NLP-LLM-02""]","[1.0,0.8333333333333334]",0.9166666666666667,12,12,0.0,1.0
nlp_llmlingua,nlp,S_minus_B,private_score,"[""NLP-LLM-01"",""NLP-LLM-02""]","[0.796875,0.7864583333333334]",0.7916666666666667,12,12,0.0,1.0
nlp_llmlingua,nlp,S_minus_F,operational_success,"[""NLP-LLM-01"",""NLP-LLM-02""]","[0.5,0.16666666666666666]",0.3333333333333333,12,12,0.0,1.0
nlp_llmlingua,nlp,S_minus_F,private_score,"[""NLP-LLM-01"",""NLP-LLM-02""]","[0.3619791666666667,0.16666666666666666]",0.2643229166666667,12,12,0.0,1.0
nlp_llmlingua2,nlp,F_minus_B,operational_success,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.16666666666666666,0.6666666666666666]",0.41666666666666663,12,12,0.0,1.0
nlp_llmlingua2,nlp,F_minus_B,private_score,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.13802083333333334,0.0]",0.06901041666666667,12,12,-0.84375,1.0
nlp_llmlingua2,nlp,S_minus_B,operational_success,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.16666666666666666,0.8333333333333334]",0.5,12,12,-1.0,1.0
nlp_llmlingua2,nlp,S_minus_B,private_score,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.15364583333333334,0.16666666666666666]",0.16015625,12,12,-0.90625,1.0
nlp_llmlingua2,nlp,S_minus_F,operational_success,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.0,0.16666666666666666]",0.08333333333333333,12,12,-1.0,1.0
nlp_llmlingua2,nlp,S_minus_F,private_score,"[""NLP-LL2-01"",""NLP-LL2-02""]","[0.015625,0.16666666666666666]",0.09114583333333333,12,12,-1.0,1.0
se_creduce,software_engineering,F_minus_B,operational_success,"[""SE-CR-01"",""SE-CR-02""]","[0.5,0.0]",0.25,12,12,0.0,1.0
se_creduce,software_engineering,F_minus_B,private_score,"[""SE-CR-01"",""SE-CR-02""]","[0.5,0.07291666666666667]",0.2864583333333333,12,12,-0.03125,1.0
se_creduce,software_engineering,S_minus_B,operational_success,"[""SE-CR-01"",""SE-CR-02""]","[1.0,0.0]",0.5,12,12,0.0,1.0
se_creduce,software_engineering,S_minus_B,private_score,"[""SE-CR-01"",""SE-CR-02""]","[1.0,-0.015625]",0.4921875,12,12,-0.03125,1.0
se_creduce,software_engineering,S_minus_F,operational_success,"[""SE-CR-01"",""SE-CR-02""]","[0.5,0.0]",0.25,12,12,0.0,1.0
se_creduce,software_engineering,S_minus_F,private_score,"[""SE-CR-01"",""SE-CR-02""]","[0.5,-0.08854166666666667]",0.20572916666666666,12,12,-0.40625,1.0
se_delta_debugging,software_engineering,F_minus_B,operational_success,"[""SE-DD-01"",""SE-DD-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
se_delta_debugging,software_engineering,F_minus_B,private_score,"[""SE-DD-01"",""SE-DD-02""]","[-0.0078125,0.09375]",0.04296875,12,12,-0.046875,0.5625
se_delta_debugging,software_engineering,S_minus_B,operational_success,"[""SE-DD-01"",""SE-DD-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
se_delta_debugging,software_engineering,S_minus_B,private_score,"[""SE-DD-01"",""SE-DD-02""]","[0.015625,0.0]",0.0078125,12,12,-0.046875,0.140625
se_delta_debugging,software_engineering,S_minus_F,operational_success,"[""SE-DD-01"",""SE-DD-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
se_delta_debugging,software_engineering,S_minus_F,private_score,"[""SE-DD-01"",""SE-DD-02""]","[0.0234375,-0.09375]",-0.03515625,12,12,-0.5625,0.140625
se_perses,software_engineering,F_minus_B,operational_success,"[""SE-PE-01"",""SE-PE-02""]","[0.3333333333333333,0.0]",0.16666666666666666,12,12,0.0,1.0
se_perses,software_engineering,F_minus_B,private_score,"[""SE-PE-01"",""SE-PE-02""]","[0.3333333333333333,0.10416666666666667]",0.21875,12,12,0.0,1.0
se_perses,software_engineering,S_minus_B,operational_success,"[""SE-PE-01"",""SE-PE-02""]","[0.16666666666666666,0.0]",0.08333333333333333,12,12,0.0,1.0
se_perses,software_engineering,S_minus_B,private_score,"[""SE-PE-01"",""SE-PE-02""]","[0.16666666666666666,0.0]",0.08333333333333333,12,12,0.0,1.0
se_perses,software_engineering,S_minus_F,operational_success,"[""SE-PE-01"",""SE-PE-02""]","[-0.16666666666666666,0.0]",-0.08333333333333333,12,12,-1.0,1.0
se_perses,software_engineering,S_minus_F,private_score,"[""SE-PE-01"",""SE-PE-02""]","[-0.16666666666666666,-0.10416666666666667]",-0.13541666666666666,12,12,-1.0,1.0
