task_id,domain,registry_id,arm_id,contrast_role,dependency_closed,candidate_atom_count,candidate_tokens,candidate_bytes,execution_order,execution_id,terminal_outcome,semantic_valid,operational_success,private_score,hard_vector_0,hard_vector_1,transport_attempts,provider_finish_reason,termination_reason,elapsed_ms,provider_input_tokens,provider_output_tokens,provider_total_tokens
DATA-HDB-01,data_analysis,B,F_drop_noncritical,noncritical_comparator_necessity,False,11,251,1375,47,s07-data-hdb-01-b-f-drop-noncritical-19797aa12307fb4b,hard_contract_failure,True,False,0.0,False,False,1,stop,provider_stop,9781,1991,1168,3159
DATA-HDB-01,data_analysis,B,S_restore_critical,critical_atom_rescue,False,9,193,1038,17,s07-data-hdb-01-b-s-restore-critical-152c3f54b085100c,hard_contract_failure,True,False,0.875,True,False,1,stop,provider_stop,10735,1934,1137,3071
DATA-HDB-01,data_analysis,B,S_restore_noncritical,noncritical_comparator_rescue,True,9,196,1052,28,s07-data-hdb-01-b-s-restore-noncritical-c39f460ae3323a70,hard_contract_failure,True,False,0.875,True,False,1,stop,provider_stop,12265,1937,1293,3230
NLP-LLM-01,nlp,A,F,full_information_baseline,True,12,285,1597,16,s07-nlp-llm-01-a-f-8085c933ed83bf3c,operational_success,True,True,1.0,True,True,1,stop,provider_stop,12031,1496,1507,3003
NLP-LLM-01,nlp,A,S,registered_slice_baseline,True,8,170,950,20,s07-nlp-llm-01-a-s-f1a151ce3f12ee32,operational_success,True,True,1.0,True,True,1,stop,provider_stop,20063,1381,2091,3472
NLP-LLM-01,nlp,A,F_drop_critical,critical_atom_necessity,False,11,258,1449,36,s07-nlp-llm-01-a-f-drop-critical-4057a33b05ad7926,operational_success,True,True,1.0,True,True,1,stop,provider_stop,52422,1469,6993,8462
NLP-LLM-01,nlp,A,F_drop_noncritical,noncritical_comparator_necessity,False,11,255,1435,22,s07-nlp-llm-01-a-f-drop-noncritical-b45567f599b1e0d8,operational_success,True,True,1.0,True,True,1,stop,provider_stop,26187,1466,3322,4788
NLP-LLM-01,nlp,A,S_restore_critical,critical_atom_rescue,False,9,197,1098,41,s07-nlp-llm-01-a-s-restore-critical-61e5f15aa5785eb1,operational_success,True,True,1.0,True,True,1,stop,provider_stop,33219,1409,3663,5072
NLP-LLM-01,nlp,A,S_restore_noncritical,noncritical_comparator_rescue,True,9,200,1112,15,s07-nlp-llm-01-a-s-restore-noncritical-418b27baa8ceba1e,operational_success,True,True,1.0,True,True,1,stop,provider_stop,19015,1412,2161,3573
NLP-LLM-01,nlp,B,F,full_information_baseline,True,12,285,1597,9,s07-nlp-llm-01-b-f-1b84c348ee2168c9,operational_success,True,True,1.0,True,True,1,stop,provider_stop,45797,1499,5777,7276
NLP-LLM-01,nlp,B,S,registered_slice_baseline,True,8,170,950,40,s07-nlp-llm-01-b-s-df14a1ab68ffeece,operational_success,True,True,1.0,True,True,1,stop,provider_stop,11719,1384,1351,2735
NLP-LLM-01,nlp,B,F_drop_critical,critical_atom_necessity,False,11,258,1449,3,s07-nlp-llm-01-b-f-drop-critical-df1ec57b70259c23,operational_success,True,True,1.0,True,True,1,stop,provider_stop,22422,1472,2169,3641
NLP-LLM-01,nlp,B,F_drop_noncritical,noncritical_comparator_necessity,False,11,255,1435,46,s07-nlp-llm-01-b-f-drop-noncritical-1da6eb02e9036305,operational_success,True,True,1.0,True,True,1,stop,provider_stop,36296,1469,5350,6819
NLP-LLM-01,nlp,B,S_restore_critical,critical_atom_rescue,False,9,197,1098,26,s07-nlp-llm-01-b-s-restore-critical-1c8c8abf6e4ebd82,operational_success,True,True,1.0,True,True,1,stop,provider_stop,33532,1412,3972,5384
NLP-LLM-01,nlp,B,S_restore_noncritical,noncritical_comparator_rescue,True,9,200,1112,2,s07-nlp-llm-01-b-s-restore-noncritical-ef640fa37cc63baa,operational_success,True,True,1.0,True,True,1,stop,provider_stop,30609,1415,2829,4244
SE-PE-01,software_engineering,A,F,full_information_baseline,True,12,278,1569,44,s07-se-pe-01-a-f-32cb848145c66815,operational_success,True,True,1.0,True,True,1,stop,provider_stop,45922,2169,5196,7365
SE-PE-01,software_engineering,A,S,registered_slice_baseline,True,8,163,922,18,s07-se-pe-01-a-s-c26f401c4293fe76,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,70078,2054,7967,10021
SE-PE-01,software_engineering,A,F_drop_critical,critical_atom_necessity,False,11,251,1421,19,s07-se-pe-01-a-f-drop-critical-9be1d5664d7d6cc6,operational_success,True,True,1.0,True,True,1,stop,provider_stop,61672,2142,6438,8580
SE-PE-01,software_engineering,A,F_drop_noncritical,noncritical_comparator_necessity,False,11,248,1407,4,s07-se-pe-01-a-f-drop-noncritical-a537a53642545635,operational_success,True,True,1.0,True,True,1,stop,provider_stop,29703,2139,2685,4824
SE-PE-01,software_engineering,A,S_restore_critical,critical_atom_rescue,False,9,190,1070,29,s07-se-pe-01-a-s-restore-critical-9f4bb494c57dcd46,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,39562,2082,3976,6058
SE-PE-01,software_engineering,A,S_restore_noncritical,noncritical_comparator_rescue,True,9,193,1084,34,s07-se-pe-01-a-s-restore-noncritical-2c904654b04abc31,operational_success,True,True,1.0,True,True,1,stop,provider_stop,25453,2085,2500,4585
SE-PE-01,software_engineering,B,F,full_information_baseline,True,12,278,1569,25,s07-se-pe-01-b-f-dfd6b743d536ebc1,malformed_or_no_submission,False,False,0.0,,,1,length,length,69687,2172,8192,10364
SE-PE-01,software_engineering,B,S,registered_slice_baseline,True,8,163,922,39,s07-se-pe-01-b-s-bf43b315ab3c485a,operational_success,True,True,1.0,True,True,1,stop,provider_stop,40156,2057,4330,6387
SE-PE-01,software_engineering,B,F_drop_critical,critical_atom_necessity,False,11,251,1421,7,s07-se-pe-01-b-f-drop-critical-d6b8583a85e79bad,malformed_or_no_submission,False,False,0.0,,,1,length,length,100922,2145,8192,10337
SE-PE-01,software_engineering,B,F_drop_noncritical,noncritical_comparator_necessity,False,11,248,1407,12,s07-se-pe-01-b-f-drop-noncritical-47bd05a2460bfbf2,operational_success,True,True,1.0,True,True,1,stop,provider_stop,49079,2142,4799,6941
SE-PE-01,software_engineering,B,S_restore_critical,critical_atom_rescue,False,9,190,1070,5,s07-se-pe-01-b-s-restore-critical-de399cde60ff24fd,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,51938,2085,4759,6844
SE-PE-01,software_engineering,B,S_restore_noncritical,noncritical_comparator_rescue,True,9,193,1084,21,s07-se-pe-01-b-s-restore-noncritical-a1f9d8448add8b4e,operational_success,True,True,1.0,True,True,1,stop,provider_stop,55360,2088,5212,7300
