global_sequence_index,hard_contract_vector,result_source_sha256,source_endpoint_verified
38,"[true,false]",2a1aba2b5cf772719e75a80ce61b474f9d6207e7094781715fe75c06ef0abbc0,True
39,"[false,false]",657bf76631f14e11667e6355e893e164554ba5caf8a276a05cfb3228fa8720da,True
40,"[false,false]",e275dcb91a743d9f278d44d7284e3469e1e698825f893fb646ff0f888b012a89,True
41,"[true,false]",90883a920f5aeff0466a7f6c3d9aaeca3547351f49bdd5d5ff2899ab6e8e36da,True
42,"[true,false]",5779b2b6334ce94d4d54819f31f0a4f1518648fa199d746967592b73515c49c6,True
43,"[false,false]",440bc8c52322c02906adc49ab1693fefa509fe59ebe2328dfebcb3fc9ff89333,True
44,"[true,false]",18c6cff0ad873c867ab12584a5cb995c12e210aa44fabfaf6355cb4a93194881,True
45,"[false,false]",f8fe27f7603b673090019f7b7e720d7c1fd0eb2948bf3a886daf863eb51d4ed5,True
46,"[true,false]",826aca4e80bb5069e139abaa52ba62d60f6f70413d36f3d652699bc3be534599,True
47,"[true,false]",c8f49b8558ed48f176a97235994e4d645b6a4f58dd8b516ce04c14de1d90ead2,True
48,"[true,false]",c5b6b4940fa95a9094c578286fc5d24c1b81033bffd04817ac52673ca530baa9,True
49,"[true,false]",9498786947d9ed9f7fa60b993f3a761010ac2145a611fecbfae700ed37e99b48,True
50,"[true,false]",343b9a2defb399ab4ce1267a96e78404ed79f2a6f52d26d4342322b0449fd833,True
51,"[true,false]",17b96c654ccba492fd16e12562c57856425b73e7683311e24fb03b0beec00e9d,True
52,"[true,false]",7672fb8d6276477c7ce524e46b7e055dd2217856ce6821b5099773d19fdccbfd,True
53,"[true,false]",5dcf28da4f7d66e04f8e6bc8189a62ef1abd9d8a9e1541fabf1de1a7a43ad229,True
54,"[true,false]",160863edd3df70f474c9b817a83cc7e03e7dd107f20260330ffd6d9e4bd0560a,True
55,"[true,false]",20300c4d0a943f5c1adacf230d6afc3f73f75f328a00ad975091ca00fa316775,True
56,"[false,false]",6e80206c4f3de4d8f9312fa7d452a73f847277c9187877f0ec548be1be274d11,True
57,"[true,false]",ac72489c3c9cead7c9f6a00747f51d5ec2e8cf0bb7138fab0cec8c4bc66f0425,True
58,"[false,false]",e573c277cd33a7db49e9f623f2eeecadd29ee03db4cc4a9e20823f957f22b06b,True
59,"[true,false]",3f8b3d6c872fb8c9352734a1a4fde21527abe61599b4832c5fb32227a189c9cc,True
60,"[true,false]",b56bf9f746da9a607481fdf09b936d5214f48ab09597916c33bac02013c23297,True
61,"[true,false]",36ab2c9541e55f0ec9a540100e7721f4ff61d1e20e61e63686602d95d7ae7f3e,True
62,"[true,false]",cae922868766c86a4d3357b4b584268572a7d9a25f32000af993256667d92b20,True
63,"[true,false]",85cdc3e9121153e511875fbc9cdf99cdd1ee3d06f6485c2bd706343c86806934,True
64,"[true,false]",12467de6c5ed9363b9e9796ee91f1922c87816e1e1fb2442bff574390931d742,True
65,"[true,false]",a435e11110ff0bdcd529968cefd9160115740d06a4394e75477696d41911edec,True
66,"[true,true]",de2ee0ff6a1e6aa91ea57d415f2f517d73e7b1d051aa15b59438c18c11225730,True
67,"[false,false]",38042c9ea864195c5c5bb7bf84f4fa13ca8b6313f4e13cb76ccb4554047e300a,True
68,"[true,false]",c550d5b155e060e186f9d1d065353b9dd21bddbceeea32e2a3b8b2e25df8a839,True
69,"[true,false]",f4faa07e1ef4d087e76904aac57afd82c9fe9782f37dc7c13707d377eb1d79be,True
70,"[true,false]",e928f276e7e79c6f354fd49d710043630b024b10810dc366a7fa1d3835e3238d,True
71,"[true,false]",6b2005f9898d3a084df47d9a033a083461891e565fd85eaaef8b942e1dd4b11d,True
72,"[true,false]",9f4b6d4647ac58400a74c1352bbdd3989684a39498c41571dbd8d5c5b5a78563,True
73,"[true,false]",ce17e20c9f474d9f860358bf99897967649c83ecd724d20682760df462260414,True
74,"[true,true]",a2b4235acb879a45e47eb1b81056c16468a7744a78e38faa5c8a69b12392a4e4,True
75,"[true,true]",718aef28409ef2868491192591c87bc52417afb2c36638fac1817b2b1f348b9f,True
76,"[false,false]",b665468303c76b171c6531a1c2d67301005b17765988bfefdc84372ac21bc37f,True
77,"[true,true]",2a5ebf757702970e66ec522031c47f797947f3b4e3a68ff7835fd673d96c25a5,True
78,"[true,true]",811ce9f155d0bbdc952e310c866901136ead22e30590927edc9a96e354c3dc69,True
79,"[true,true]",2242aeb7fc20db468264adcf300a4469d700ac0780aacbc3adfaf41d139e3ac4,True
80,"[true,false]",71c6f2ee4fb871fb63c2d08c39f3c3a78e279d557d6676759b021d48787b3921,True
81,"[true,true]",a8936b32127f8c7898aa3f45b20925f20d70369f14a210b04758118f5c535993,True
82,"[true,false]",44c2880b844ed448cb839af63cd9ac311e084df9102c906defeec598eeea5676,True
83,"[true,true]",ebee25cea887337225d71f120fd0e8bb9627c4681ef21339a82d7d038eb121ef,True
84,"[true,true]",04e4f624028508c97379b4be64b9ea1768a12f63b2fb1074dbd9770a98f5babc,True
85,"[true,true]",061187268ee9a11cb6815d9c77a6ef79ef0356ac3c5c42bc2898ecd83afd9bf0,True
86,"[true,false]",2ab01832d34e71ab54f88a56d1cb87438d95c30f1c8034580bc62e89ef004f6b,True
87,"[true,true]",e8cc7ed4d907de90b2cbe24da46a7075db437951513dbbcdf57d7e378dda1675,True
88,"[true,true]",2f228c0c33475a5e188e0de71186a6380037b9ce4d4e5026803b8309e08f9315,True
89,"[true,true]",63cf3780b25bb12a15300b130730ed0d76dd828c0343e7303082c7d597fe3cc9,True
90,"[true,false]",4845433a400baf7c9cab5394656b8ae7214769950ea45800e412866c45cc98b1,True
91,"[true,false]",ccd203599814514227306ed6d2dcce5ed34b7e515824197eb06b9676a5f658f6,True
92,"[false,false]",e14b8e5c9a8e56d9db4f6f8afcec22f36fdc7969aa6f4cfcba79c4b8b2da9a87,True
93,"[false,false]",82c1ad4e225271c2a784792b954bb5e482b4bc78b81486ca1762366e57e199da,True
94,"[false,false]",96f64edbbc92bdc9b8bf3462f6830fcfb67cf35f89e026c5c6d34efba6f8d27a,True
95,"[false,false]",542848c1c360a6fce4e2431ad4d2e6c2f75a2dabf1bf3531c1d303419cb8c226,True
96,"[true,false]",31817df82ff2c66c3d037e67f7a37ea98f504c5c1dbce45ac7367a5db404a0f1,True
97,"[false,false]",1dd05461ba05afd514b8cd9da00e3a728b4a892506025a6950a586375c58a135,True
98,"[true,false]",3913aeb4bae2394058c45f515ca90aa473adb9c4f14076ced58052a2dba5a15d,True
99,"[false,false]",15f06c3d1d959f7bcc0d9bc534da199e82161fd4594a8373e9308a6c6e08a183,True
100,"[true,false]",01af534765a35b8f86154fa4e7c84bce077052d792d9d1ad08ff3db981ce6962,True
101,"[true,false]",d7e563847125ae1b6ec9f2c71fc5b4fa2b6f8d3f04c9888dfc5aa580f873b71b,True
102,"[false,false]",186e2957f293b20445e2e9737058f8d0585eb03a34fa5aa518bd4867e58f8d0a,True
103,"[false,false]",f6c7c3ff7b490dbbf5664a2df77be5d9ad5862ccffc19d048782917dfd604d32,True
104,"[true,false]",0ee16be12bbcb048c09a56781958c69aef90a0f6b94cce1c8321b5885779a1be,True
105,"[false,false]",33a15da7f4779d9cc7bbcd252c8b6cc6dbe9095fc8bfd9096849cedd11027f6f,True
106,"[false,false]",2483dd0b1ec03b9b83121962f8d2713fdc51c40022f6b89e9c06bc01d9cf52c0,True
107,"[true,false]",244c8c4faa7db15f62f4fd9c4f50d03105cc419479f2fd8e451f8c3c0c173a8b,True
108,"[true,false]",4024aa27277072aad7e964387a14e951a456eeff19f0077ba631964656f8706e,True
109,"[true,false]",8a17f8979492c8f2c86d46cd2414ae900edd942a22a2f3e9efa9687688aa4602,True
110,"[true,false]",8dd7c472506c58b4164e36222541b8e922b6fddcbe0fec25e98c57d8e7a3914b,True
111,"[false,false]",ff48d3d9d38263a77c78148f77e3f0a155ecbcd61665a225d4df4affb40ae583,True
112,"[true,false]",e2b99d01293b668cf4f4c21d1c5b56943f13caf663e2ea31931b32d21b9ded0a,True
113,"[true,false]",bb28ceaa8b9b7ab5d1f1bb3d064287b728e05dee01ad416bb824e6c9bc8ee1a5,True
114,"[true,false]",b37d847baf824e619dba382e23e0c1ab05f27bd9f2297455e1b09a073c371721,True
115,"[true,false]",6263b7ef0d89a14aa255c860ed0996ee0e522e5ba1db0044d1de7477e7845dc4,True
116,"[true,false]",4637d294f929e3c76fea15fb8b531e9a81204ff0d1cc8bfc2336c2a4d901d0bf,True
117,"[true,false]",646deff4d21c1a6b6ccff7302aa6332b1e66b4797c12ba71102ea21492127412,True
118,"[true,false]",ca5e3adff53bd94ee81d4c43e9f49ebb7864db33f2461ec44749c0630e5cca1a,True
119,"[true,false]",761092965b42fd52f3c79c3a8a9424416e319c925d78b40d83188f18bbd13a63,True
120,"[true,true]",f16d1277dafc9e02be668d5a6fcbd907d6bd5af7cb4754ac522f549524f967b1,True
121,"[true,false]",c7687e18a575ccbfa6aaa8945a038cb78cd992527182afabb9492fd0e9379382,True
122,"[true,false]",2d912f30802053725ec6efaa7815cad9093556a103705b700b418050b5e00a2a,True
123,"[true,false]",949cc91dce22f1ec59f6e9fd97f27ef6a5c6a3073a09f7ccf878d97d3800124d,True
124,"[true,false]",d77ab1775c895d138017f760661a742e98df5ec8f900ad5c154f027000e9d715,True
125,"[true,false]",6d3629cbb24120a111d31c9e943933684d0187203800fda17c0b4bfdf33889a5,True
126,"[true,false]",fb278eb2132a3afe0d5c62f8b6ad1413e16f46358ee416ee2a47c45ffe1de70f,True
127,"[true,true]",8b7f387ba6f84550ca1e2537da8eaaa5e470b338f41b315789025b50301e5153,True
128,"[true,true]",67e458e22bc4d66d1bd9e6071394d5752ff93d45c8c2ffba13aabe54d5250f51,True
129,"[true,true]",d969d25481b1f32abb91f2af8f204d1f3bbf981d8f462b7d0c763e3137af349d,True
130,"[true,true]",cddff5483781b7610f7a089d4135c4f27f3d7a0baafafa4c192b944784d85d81,True
131,"[true,true]",e7601debd3edc34cf97695295be741529ed3bbf6143c1f2dde6dfd03fc3be917,True
132,"[true,true]",ebded428118b98bc694359cb830f9a09db00b3b2b12a7202c56db4d2bc3c319b,True
133,"[true,true]",a092e3d2d00c2065be827b218e666462e3c74134cd1fda006ec47237604066c3,True
134,"[true,true]",55d0bb38c2f52e410d29d3029f1517179061158ec58352478c43339489b1c087,True
135,"[true,true]",959f1bbca73445bac7495279f5818ce4dfa00645b6a59df87b3546d32377a96d,True
136,"[true,true]",e3360dd40715e007e00988878717675a97f62b6fc3dc077a9d48bfc09a6c931a,True
137,"[true,true]",63d4353ca5f4cf63343309e5cc44afc201fb872114a98d05d3b987405098f5bc,True
138,"[true,true]",c6e6d537ebf40211c9c8a20b9668a0b8e6a6e7638ab80d27ca619a8ab0f04357,True
139,"[false,false]",e0efffcc3a7fe71df71b161bc0104aa2b9f81883d50f7a06cabc42883abdd59e,True
140,"[true,true]",1f3d61a54883bb4301dce8bad432893a070c31fc85350d12f28baa8560ecae44,True
141,"[true,true]",8eca2b3e1fd62e82c62c30a2a0b495cd2be6b645538ee538ab6891e9c0b82b93,True
142,"[true,true]",67aff0a72e98fe02a69494bf23bf74ef2b1ae867ad68f909255713da9f29fdc5,True
143,"[true,true]",daa3fdbedb47828f6e13c377b1ab37d8947ad0fbb664ef12d7271b5c7ecc5b9a,True
144,"[true,true]",d614cf406f88038d3e35978d852e33fb88fa4d6961b5fb8888d721362249afcc,True
145,"[true,false]",72df6371ee2055871a791a5a36ba1167abc7ea5820ed0885fa36804abe867902,True
146,"[true,true]",cf846564ae90701f9dd9f1528056ff6102099e58756bc5daad46d63f9b581b59,True
147,"[true,true]",da6d340149a37b5045d5c550ea760aac6b888ed2d526a508dadcbd8cfc99c770,True
148,"[true,true]",f439f859b498e1f5e76a135531d8615d73c79e20fb3f9c0118cbc99b8768741a,True
149,"[true,true]",123c9b89172b401f43053bf245a2d524ad0331a111dd655f9ca0c39b93f89652,True
150,"[true,true]",df7d9fbf6cc51bc1946e52b505b2bceb8fd58fb2ecfb3d0df232a787c6b91302,True
151,"[true,true]",8a623b1262bc4268cb34801feda39a3db1f93c144fb90acdcdb7ca066d5d1555,True
152,"[true,true]",ea5ac7d0a1eeab3d2322695d55c03a99287ba0cf690edb88335f60de84b608e3,True
153,"[true,true]",8b314f0d9fa759bbef0f7b403831046e78814af9cf60e0ba146d001e8f74eeee,True
154,"[true,true]",55ddb25ebdb7104128f39f9f8e4a23421dea9609f5a5ed722833924407795ae4,True
155,"[false,false]",046760c5b2f88071c0ae085951164799192afa34e4922fba325642ebd03830c9,True
156,"[true,true]",abc36ee0b17a9c88b10828442f1963ab23a9d5dd6035c971bd2a619a20b18603,True
157,"[false,false]",3b7b15a5e8221a399ccdb0f2ed8c6ef62ee092bc2a0bb4baf244b988547ca390,True
158,"[true,false]",21aae3eccfbe249ebd64eb4647953e971c5d0b219c34861d13c95369a20d40b7,True
159,"[true,true]",3d79d15d1004f3e646876d781a2affe7b037cee147581923395423e31fabb373,True
160,"[true,true]",86f3c97392bcc7b1ff355e83fe2c1ee349b252904fac9751fde0e3f87fa0624f,True
161,"[true,true]",b3a812c43a78a56341e36a4210ecc05d253fd3e35b73981588f3cf47b7e99796,True
162,"[true,true]",e545ce4c10784053406a4d06ca8276310f520ce1d8d815f86378522bbd1dd9b1,True
163,"[true,false]",5457980bed8b92b7e08868db91c585d136acf3250ba6022400f2fe784fa70b3e,True
164,"[true,true]",21271500d7dbbdac30e0ae47c911bebe4fed72b5a7481d6d587a66809cac9a75,True
165,"[true,true]",6a2d6a0c1a343ab90d9d944479d3f2d6168dbd45375ea25791274690ca5e88c3,True
166,"[true,true]",d066392fde801dc0e2dd1aa203cfdc94f00ea086fdce4ac4c5533c03c345f861,True
167,"[true,true]",41af2627c0cf6a5905d22b2f7066772549594b8c5fc5cf38a0f4444ec10ec341,True
168,"[true,false]",2930830fd657de3ec93cc6ded8e47dd049654447d54f478adb94551d6b6aeaeb,True
169,"[true,true]",d4a7c26c8a5bed96c2409a49e6bdd79296369f0c6ebdfa9aecccea91b5ae6bf3,True
170,"[true,false]",60c588ecd41a484bf3ce069c7deb1a2240f021362e55b0c97de28f36dd3a7b5c,True
171,"[false,false]",21efc6573d71d0c341a3e131e5d4dc958d5ac028e77dd2d180556211aca64521,True
172,"[true,false]",2e6757cabadbb277c776197b88ec1b7bfb299affce53ee54a384d012d7df64ae,True
173,"[true,true]",a83510c0f3fa96d50508025547218478e13ab05481c46063a044994a17cb9dbf,True
174,"[true,true]",3bcb4cd6b7ffab4c6b0ffbfbf1abbf9038f2eb06e44a2bfd0cf4db1b17055e77,True
175,"[false,false]",1075d0519267d9ebab7db39505913ee30c93c479f235f6f0c965f2945c8a6001,True
176,"[true,false]",7065f96df88708be1bf60fff3ae8b8cef4bfe6cb9fef85e8f5b1f3d023886f68,True
177,"[true,true]",3a1ecf4282464909d8e99764a7ba14f7e71a661129993288828784ba471f1110,True
178,"[true,true]",aa3f7578e5de2672d8765f52e147d8f4440d5e3a96da9c11e768ffeae8f420b0,True
179,"[false,false]",d312c57ab4dc72535fb88a0b24b8a059c2c3e23f7410d6b6ee75caa0dfe67c03,True
180,"[true,false]",8d82472d5ce5ce79aed9af0438d848b6060993629ea048fef929bae53fd0d3a7,True
181,"[true,false]",2f533cef7d49a7620efc2fadbe3c1201bb8abd0ce03963e72bd6bacd27a79b06,True
182,"[true,false]",039ec7fb7ba41123e407f24ea251f1a54dc66ea4ad3ec1bc759b67bb062a8520,True
183,"[false,false]",9eb2ffc7a32d16ca60df08ad260acf9fbf5feccd3f3bc59b5196497f1ab1d0d7,True
184,"[true,false]",72f657ae2e528f3223c94f79093dd03ba4a90416a749ab16ac7384aaec808702,True
185,"[false,false]",a2d76fdd39af6bebf9d55c255a2421c892db9b4bb376f63ae3233124cf8aaa4a,True
186,"[true,false]",4e714eef9bfbe8feea616d55b2de05ff444c71a0cfb700d1f6f5b29a8e958d27,True
187,"[true,false]",013d26fbfc1157794e5a27b1e74278721e8a62c09977a6bb3a4c24d5facd7142,True
188,"[true,false]",d4faa5cdb9e69d20ed260a7b3b75416e3b35638db70d7b62fdd411ce48462715,True
189,"[false,false]",8cd6ca4acf74433927bb0a204c1fdc63c33f68a782c4875d9316c5139dc00404,True
190,"[true,false]",a16106ac50331d60fc61f498908e98bf4b2d15f0a42a5860a4206921629c01d7,True
191,"[true,false]",f171eb24983aa18d41c531d715dc59fb5d1eb5326687a80f9449150bfd4c62d9,True
192,"[true,false]",1f1c8073189d7a279afdf31069dcab12cf1defb021a9b84c9137dfa22f277e2f,True
193,"[true,false]",6e1337d967b6cdcdc04f911e5db33f8ef9e9970055d66552380ed2e616874c0c,True
194,"[true,false]",29d081ffce23a70f35483a0a3ef127e1c3e6dbd8ed035389dffc0124c66d45da,True
195,"[true,true]",6e4c02081ae044e02d500ae154748ae1f1e3972e5eaacfe62895f6644587da0e,True
196,"[true,false]",db10f8b27efedbf336429f0d7c431546cff2e910b3a3db731deaad37b8a05536,True
197,"[true,true]",aa0f8df6faaf4f75cc8f6cde4fd01e553a181dd8203f32d7f0e8cf68b0aeacd8,True
198,"[false,false]",7e88321db3e36fc0afb012172bf491a5ee63b56dc4b5ee2314196e37b1f5a5d7,True
199,"[true,false]",ba3d7d7cbc3ef37793a129acb2d690d6c11f398b9a6b68cec6244d14e2f59e5a,True
200,"[false,false]",7e0d5367dc8d8919df494e6c32406bee903bc3252374526200c93313aef97af8,True
201,"[true,true]",e5405e5d274861b10e95222ddb835fd315a8456f63f5bf09a8929bc29bb9ec36,True
202,"[false,false]",9698837e9542d2d85d4af9dec4a384e776c99262700bca27a354072d8c9cf649,True
203,"[true,false]",9064585bc74ae560e842d8972115465de867a6b43ec17f99490096b7fab9b36c,True
204,"[true,false]",00dc5d77ab25faf3ec8ce75ab048fe8ef5d5f8b48a1b6866055a749c32e9f93a,True
205,"[true,false]",dccd7ef40b9285aa64ffec1978759c33d224add6431025a43ecdef87ade43d41,True
206,"[true,false]",41210ab0592ae9d204f2c2345e91da23823cbad47cab53f71d02979d2e26cb1b,True
207,"[true,false]",bc9b48bc2cb31645d45d88cfbe5f45a53772f4c5ec7cb1c48911959132bf466a,True
208,"[true,false]",31d741bb4ca4f0500108e729ac7bb9626a6ec0b75e8c1b487789cbaaea731469,True
209,"[true,false]",0c98f332c6e48d262ffd4d82fa4ef3ce9a350de9d437f75ca8114dc3a109624d,True
210,"[true,false]",122f486123b7bc917dfd4c8002f283e6ce974d4145c26ee4773ab5a3af36e605,True
211,"[true,false]",f95bb3c8c0df598ff8f48f00b1bc707d33fd0cfa7fb299a1d7aeabfe8be05321,True
212,"[true,false]",a9650323260c40b09a180a6bbf9456d3c658004dccad1beea6be656bad416ee7,True
213,"[true,false]",d34964a6dbf2a6167fb581ef0d4d7eb0b772b8bb750012fb3e0da1a0c8d23e01,True
214,"[true,true]",b4d47fa21496e994ec3ceefe6d615707abf00a466f8d553c522285f5efa257b1,True
215,"[true,false]",482b842ed4041d4f9221d720f8da6709315c78e3c34b98c5e2b4291d22ac9b7b,True
216,"[true,false]",17f98f30a9bee31fd87f113126c32547f053404dde09fa54ba9dde81e8c923fb,True
217,"[false,false]",136e1620f134da901117ad6fd2697efbcaa828007cb63c0a072d5e1600272a15,True
218,"[true,true]",bb7cbdd2bab08773e3873ab7a74cf7b7291ed7d049f727c5b435ea7f3c70f9ed,True
219,"[true,true]",2100adb001cbdb9c743f63b52553c3361df6d397d4536cc67eb1029f59beaa19,True
220,"[false,false]",83058fbe614a070336d1a6c431c0adefbed4d1ec8bcdb32db0cb28e47175614c,True
221,"[true,true]",1a3cdff6bba3fdc064b549cef1018ab804a0b4d93d971d3ca35506d9f4863f3e,True
222,"[true,false]",fe6d7e46da9822a34b6102a2d99485095828658bc8ef8147c85d06f6e5ca0783,True
223,"[true,true]",32ed860f4a5c6fd977756b9c7e6cc91353fa6807f852a833090c3a6fec7590ac,True
224,"[true,false]",047739f2c798bdf6901978e788c8bfe5c48ab3baee3a5a2e70ef9ba2b4d8f89b,True
225,"[true,true]",3882c353284ac1d7972e53b24497443abd1d45a0b3c9e9a8e2241d3250ec5335,True
226,"[true,false]",3af94bfa8a36c8734738b18bc859e7c0955e257f11f38af62def5f08cf36b84c,True
227,"[true,true]",65c69cad4d2d7591292d0336484824be93c3a173a4e46f0907faebcdc7058828,True
228,"[false,false]",a2340130eae22f669cb72795e7ccfc88f56d74863bfeff0d4121bf50d4eb80d0,True
229,"[true,true]",be6f725f3cb243095ee4339a8be8c84ffddf90509f4aff5159fabe6e079ef2d6,True
230,"[true,false]",d6687350fbf92bd79672f2c8d90032e259965c8388b355ca66c41d139b5295e5,True
231,"[true,true]",f6133cda86ae07f9d131887ff61286dccda4f5bab0c4b37d799b808226836ab6,True
232,"[false,false]",23b11aa46131fa72104faaf46788f72055aa1ac07b251b81e445c2ed4fdf3ee2,True
233,"[true,true]",4a79b03e49400d624896f83e32dcd24c34b2ae97d7f481522665bf01a2650d93,True
234,"[true,false]",c4f7bfc0727acddfc4101f1979e4b928f8890bf5697c5c606a58608e9553ac4b,True
235,"[true,false]",baff527330c1b5656ffeb1b312f197de980bd1f598f100683d256fde07241841,True
236,"[true,false]",f2816e5f64530512a8819bc811ffd37ace55b94dc55f1a3c000761d2a6552e5d,True
237,"[true,false]",971b9dedc3f6d9907e6a57de7d3db1d5c513ba98f3d41c7ad3a00e9cea499569,True
238,"[true,false]",00da893f49809f7634bf126dfb3d864f2bc7f8769199d3e71c651353ce9950a2,True
239,"[true,false]",32257e2e35aabb78ae5162143f1262a4a1828c04f9119ce59668dffc8b876117,True
240,"[true,false]",8fc2d8ce9f3a5c214f65a4e8fcd8b218b6274de5c33f4af88bd7cca993975194,True
241,"[true,false]",e5fc48b15b1bf913c4d46939343e550e8cf43a9238973f027d2a8e33f822fccc,True
242,"[true,false]",e4c4332d70152a5e360a1b30d9bc5744871c1f395042533f10a943f9f20a0b44,True
243,"[false,false]",857bd6959bac6101614d6d0eec028f308a6283ee3a5531f3de21665f841f4852,True
244,"[true,false]",2555f6b42919952872cad4373bc3c3d97034af472f734b0414646dc2af50ae04,True
245,"[true,false]",3ec625769054ea535c77c2b9b285bc4cff6cef104c95427e6ba704fe0b62c850,True
246,"[false,false]",0d8ceeee6867667c8eccba65ad7232bfada37ef174aec4a32ac13ebc6e68e213,True
247,"[true,false]",2cd4246d5b09e8d8421ab4962f8da2f22ab1ae74ec68bbc8f407887dc6ab6a6e,True
248,"[true,false]",c07f82eddd64133587dfd4be4f5608ad860383e50081c48ba134681eb1cab4fd,True
249,"[true,false]",dd6c394ca8b6810045c54f2cdd31a11078b2e9c0ce520288e5fe546d71246e02,True
250,"[true,false]",5b7986a50c1085cab261d7080de7d525638d445f6fc16a1d3cccfb7a0ee0c312,True
251,"[true,false]",fab36e030144d4aeffef70929b374b2c699c8bfe79e28d4bdfa3e556f636e5d9,True
252,"[true,false]",f73f19f3b2dccea35fce10dce74a707007bb66537722e6cad7f27e50a8d7c176,True
253,"[true,false]",1845f851b1afae479043563ee07bd17070ddcc1b167d39804c355102f3f04819,True
254,"[true,true]",812a2cd44c85eff4be4529f87cfa1c50d7b524cc1e63c40daf2eecb1d45a47a6,True
255,"[true,true]",80989df3a1e7684bf7b14312ce26e1bfd7393ee7b291a38d045f3e0dfe84a1de,True
256,"[true,true]",479fd7df7613b1ab3480b935944accc8aa0ebd5573dbbe083946b519eb0716de,True
257,"[true,true]",9f80be8d397a8e63fd54eb4dfff1e13696214461d8f22fae66e668e2a9daadaf,True
258,"[true,false]",69671b744ed23da847d70d7f51e380c1cf2cd490fe56ef36c3f938e9b360abd0,True
