profile_id,total_b_max,total_f_min,total_s_min,total_margin_min,registry_b_max,registry_f_min,registry_s_min,registry_margin_min,margin_tolerance,admit_tasks,reject_tasks,invalid_tasks,changed_task_count,changed_task_ids,registered_profile
B2_F4_S6_M4,2,4,6,4,1,2,2,2,0.05,2,22,0,0,[],False
B2_F4_S6_M5,2,4,6,5,1,2,2,2,0.05,2,22,0,0,[],False
B2_F4_S6_M6,2,4,6,6,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S4_M4,2,5,4,4,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S4_M5,2,5,4,5,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S4_M6,2,5,4,6,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S5_M4,2,5,5,4,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S5_M5,2,5,5,5,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S5_M6,2,5,5,6,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S6_M4,2,5,6,4,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S6_M5,2,5,6,5,1,2,2,2,0.05,2,22,0,0,[],False
B2_F5_S6_M6,2,5,6,6,1,2,2,2,0.05,2,22,0,0,[],False
B2_F6_S4_M4,2,6,4,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S4_M5,2,6,4,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S4_M6,2,6,4,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S5_M4,2,6,5,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S5_M5,2,6,5,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S5_M6,2,6,5,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S6_M4,2,6,6,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S6_M5,2,6,6,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F6_S6_M6,2,6,6,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
