paper_id,domain,task_id,state,primary_reject_reason,failed_reason_groups,failed_gates,B_successes,F_successes,S_successes,valid_margin_blocks,A_B_successes,A_F_successes,A_S_successes,A_valid_margin_blocks,B_B_successes,B_F_successes,B_S_successes,B_valid_margin_blocks
data_snapatac2,data_analysis,DATA-SNAP-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
data_snapatac2,data_analysis,DATA-SNAP-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,1,0,5,0,0,0,3,0,1,0,2
nlp_context_sentence_compression,nlp,NLP-CSE-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
nlp_context_sentence_compression,nlp,NLP-CSE-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
nlp_llmlingua2,nlp,NLP-LL2-01,Reject,baseline-sensitive,"[""baseline-sensitive""]","[""total_B_successes_<=_1"",""A_B_successes_<=_1"",""B_B_successes_<=_1""]",4,5,5,5,2,3,3,3,2,2,2,2
nlp_llmlingua2,nlp,NLP-LL2-02,Reject,full-insufficient,"[""full-insufficient""]","[""total_F_successes_>=_5""]",0,4,5,5,0,2,3,3,0,2,2,2
nlp_llmlingua,nlp,NLP-LLM-01,Reject,full-insufficient,"[""full-insufficient""]","[""total_F_successes_>=_5"",""A_F_successes_>=_2""]",0,3,6,6,0,1,3,3,0,2,3,3
nlp_llmlingua,nlp,NLP-LLM-02,Admit,,[],[],1,5,6,6,1,2,3,3,0,3,3,3
se_creduce,software_engineering,SE-CR-01,Reject,full-insufficient,"[""full-insufficient""]","[""total_F_successes_>=_5"",""B_F_successes_>=_2""]",0,3,6,6,0,2,3,3,0,1,3,3
se_creduce,software_engineering,SE-CR-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""total_valid_margin_blocks_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,4,0,0,0,2,0,0,0,2
se_delta_debugging,software_engineering,SE-DD-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
se_delta_debugging,software_engineering,SE-DD-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,5,0,0,0,3,0,0,0,2
se_perses,software_engineering,SE-PE-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""total_valid_margin_blocks_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,2,1,4,0,1,1,2,0,1,0,2
se_perses,software_engineering,SE-PE-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,5,0,0,0,3,0,0,0,2
